sahne_adi,bina_adi,prefab,csv_dosya
kocaeli,Beylerbeyi Konağı,beylerbeyi_konagi,beylerbeyi_konagi.csv
bilecik,Bilecik Saat Kulesi,bilecik_saat_kulesi,bilecik_saat_kulesi.csv
bosna,Sokollu Mehmed Paşa Köprüsü,bosna_sokullu_mehmed_pasa_koprusu,bosna_sokullu_mehmed_pasa_koprusu.csv
bursa,Bursa Ulu Camii,bursa_ulu_camii,bursa_ulu_camii.csv
bursa,Yeşil Türbe,bursa_yesil_turbe,bursa_yesil_turbe.csv
canakkale,Çimenlik Kalesi,canakkale_cimenlik_kalesi,canakkale_cimenlik_kalesi.csv
canakkale,Kilitbahir Kalesi,canakkale_kilitbahir,canakkale_kilitbahir.csv
kocaeli,Demirciler Konağı,demirciler_konagi,demirciler_konagi.csv
istanbul,Dolmabahçe Sarayı,dolmabahce_sarayi,dolmabahce_sarayi.csv
kocaeli,Gölcük Saraylı Evleri,golcuk_saraylievleri,golcuk_saraylievleri.csv
kocaeli,Hannibal Anıt Mezarı,hannibal_anit_mezari_1,hannibal_anit_mezari_1.csv
kocaeli,Hereke Kalesi,hereke_kalesi,hereke_kalesi.csv
kirklareli,Hızırbey Camii,hizrbey_cami_hze,hizrbey_cami_hze.csv
istanbul,Galata Kulesi,istanbul_galata_kulesi,istanbul_galata_kulesi.csv
istanbul,Gazi Osman Paşa Türbesi,istanbul_gazi_osman_pasa_turbesi,istanbul_gazi_osman_pasa_turbesi.csv
istanbul,Kız Kulesi,istanbul_kiz_kulesi,istanbul_kiz_kulesi.csv
istanbul,Koca Sinan Paşa Sebili,istanbul_koca_sinan_pasa_sebili,istanbul_koca_sinan_pasa_sebili.csv
istanbul,Rüstem Paşa Camii,istanbul_rustem_pasa_camii,istanbul_rustem_pasa_camii.csv
istanbul,Süleymaniye Camii,istanbul_suleymaniye_camii,istanbul_suleymaniye_camii.csv
istanbul,Sultanahmet Camii,istanbul_sultan_ahmet_camii,istanbul_sultan_ahmet_camii.csv
istanbul,Topkapı Sarayı,istanbul_topkapi,istanbul_topkapi.csv
kocaeli,Fevziye Camii,izmit_fevziye_camii,izmit_fevziye_camii.csv
kocaeli,Kapanca Sokak,izmit_kapanca_sokak,izmit_kapanca_sokak.csv
kocaeli,İzmit Saat Kulesi,izmit_saat_kulesi,izmit_saat_kulesi.csv
kocaeli,Yeni Cuma Camii,izmit_yenicumacamii,izmit_yenicumacamii.csv
kocaeli,Kocaeli American College,kocaeli_american_college_1,kocaeli_american_college_1.csv
kocaeli,Gölcük Kervansarayı,kocaeli_golcuk_kervansaray,kocaeli_golcuk_kervansaray.csv
kirklareli,Pınarhisar Kalesi,pinarhisar_kalesi,pinarhisar_kalesi.csv
kocaeli,Portakal Hafız Konağı,portakal_hafiz_konagi,portakal_hafiz_konagi.csv
sakarya,Rüstem Paşa Camii (Sakarya),rustem_pasa_camii_hze,rustem_pasa_camii_hze.csv
kocaeli,Saatçi Ali Efendi Konağı,saatci_ali_efendi_konagi,saatci_ali_efendi_konagi.csv
istanbul,Selim Sırrı Paşa Konağı,selim_sirri_pasa_konagi,selim_sirri_pasa_konagi.csv
balikesir,Zağnaş Paşa Camii,zagnas_pasacami_hze,zagnas_pasacami_hze.csv
